naics17,naics_bucket,naics_bucket_title
322220,322,Paper ManufacturingT 
322230,322,Paper ManufacturingT 
322291,322,Paper ManufacturingT 
322299,322,Paper ManufacturingT 
323111,323,Printing and Related Support ActivitiesT 
323113,323,Printing and Related Support ActivitiesT 
323117,323,Printing and Related Support ActivitiesT 
323120,323,Printing and Related Support ActivitiesT 
324110,324,Petroleum and Coal Products ManufacturingT 
324121,324,Petroleum and Coal Products ManufacturingT 
324122,324,Petroleum and Coal Products ManufacturingT 
324191,324,Petroleum and Coal Products ManufacturingT 
324199,324,Petroleum and Coal Products ManufacturingT 
325110,325,Chemical ManufacturingT 
325120,325,Chemical ManufacturingT 
325130,325,Chemical ManufacturingT 
325180,325,Chemical ManufacturingT 
325193,325,Chemical ManufacturingT 
325194,325,Chemical ManufacturingT 
325199,325,Chemical ManufacturingT 
325211,325,Chemical ManufacturingT 
325212,325,Chemical ManufacturingT 
325220,325,Chemical ManufacturingT 
325311,325,Chemical ManufacturingT 
325312,325,Chemical ManufacturingT 
325314,325,Chemical ManufacturingT 
325320,325,Chemical ManufacturingT 
325411,325,Chemical ManufacturingT 
325412,325,Chemical ManufacturingT 
325413,325,Chemical ManufacturingT 
325414,325,Chemical ManufacturingT 
325510,325,Chemical ManufacturingT 
325520,325,Chemical ManufacturingT 
325611,325,Chemical ManufacturingT 
325612,325,Chemical ManufacturingT 
325613,325,Chemical ManufacturingT 
325620,325,Chemical ManufacturingT 
325910,325,Chemical ManufacturingT 
325920,325,Chemical ManufacturingT 
325991,325,Chemical ManufacturingT 
325992,325,Chemical ManufacturingT 
325998,325,Chemical ManufacturingT 
326111,326,Plastics and Rubber Products ManufacturingT 
326112,326,Plastics and Rubber Products ManufacturingT 
326113,326,Plastics and Rubber Products ManufacturingT 
326121,326,Plastics and Rubber Products ManufacturingT 
326122,326,Plastics and Rubber Products ManufacturingT 
326130,326,Plastics and Rubber Products ManufacturingT 
326140,326,Plastics and Rubber Products ManufacturingT 
326150,326,Plastics and Rubber Products ManufacturingT 
326160,326,Plastics and Rubber Products ManufacturingT 
326191,326,Plastics and Rubber Products ManufacturingT 
326199,326,Plastics and Rubber Products ManufacturingT 
326211,326,Plastics and Rubber Products ManufacturingT 
326212,326,Plastics and Rubber Products ManufacturingT 
326220,326,Plastics and Rubber Products ManufacturingT 
326291,326,Plastics and Rubber Products ManufacturingT 
326299,326,Plastics and Rubber Products ManufacturingT 
327110,327,Nonmetallic Mineral Product ManufacturingT 
